"","response","variable","Sum.Sq","Mean.Sq","F.value"
"1","delta-CEWL (g/m2h)","VPD_kPa",1906.63449958763,1906.63449958763,39.2672724123412
"2","delta-CEWL (g/m2h)","humidity_tmt",734.642083528865,734.642083528865,15.1300056857972
"3","delta-CEWL (g/m2h)","temp_tmt",570.810894672299,570.810894672299,11.7558907603304
"4","Plasma Osmolality (mmol/kg)","day_n",626.616042036365,626.616042036365,1.16511497930118
"5","Plasma Osmolality (mmol/kg)","VPD_kPa",683.839379119795,683.839379119795,1.27151469256871
"6","Plasma Osmolality (mmol/kg)","humidity_tmt",1309.0452193759,1309.0452193759,2.434007576188
"7","Plasma Osmolality (mmol/kg)","temp_tmt",46.8960758767251,46.8960758767251,0.0871974491697518
"8","Plasma Osmolality (mmol/kg)","day_n:VPD_kPa",1887.18904283723,1887.18904283723,3.50899446403753
"9","Plasma Osmolality (mmol/kg)","day_n:humidity_tmt",590.387533662347,590.387533662347,1.09775255166985
"10","Plasma Osmolality (mmol/kg)","day_n:temp_tmt",199.345634275936,199.345634275936,0.370658535645515
"11","Hematocrit (%)","day_n",7131.84318423962,7131.84318423962,477.843705182558
"12","Hematocrit (%)","temp_tmt",125.106787589457,125.106787589457,8.38233390455673
"13","Hematocrit (%)","day_n:temp_tmt",93.1649808856916,93.1649808856916,6.24218711904103
"14","Body Condition (g')","day_n",226.412178851888,226.412178851888,4593.67207704248
"15","Body Condition (g')","VPD_kPa",0.180084233547132,0.180084233547132,3.65372534002341
"16","Body Condition (g')","temp_tmt",1.08832058227456,1.08832058227456,22.0809140878224
"17","Body Condition (g')","day_n:VPD_kPa",12.5006694428823,12.5006694428823,253.62582726467
"18","Body Condition (g')","day_n:temp_tmt",14.2457829105074,14.2457829105074,289.032398802256
