"","effect","group","term","estimate","std.error","statistic","df","p.value"
"1","fixed",NA,"(Intercept)",25.7523857119263,1.65251005947117,15.5837996654419,7.81077437866703,3.66531715097386e-07
"2","fixed",NA,"typerehab",-0.650586640601814,0.999399430158212,-0.650977598114921,126.927365839323,0.516237717699951
"3","fixed",NA,"humidity_tmtDry",1.95011776304444,1.3678284893801,1.42570342567455,204.371551479942,0.155479542704464
"4","fixed",NA,"temp_tmtCool",4.47246560327373,1.35833686658913,3.29260414944371,202.875064119285,0.00117096026986597
"5","fixed",NA,"typerehab:humidity_tmtDry",-1.34909873669457,1.4015532294212,-0.962574027425062,126.971152371156,0.337590939887176
"6","fixed",NA,"typerehab:temp_tmtCool",-2.23769878319687,1.38614724252746,-1.61432978730075,125.439110693113,0.108968636150619
"7","fixed",NA,"humidity_tmtDry:temp_tmtCool",-2.50546981067322,1.91440671043641,-1.308744791279,201.681654824934,0.192110147155243
"8","fixed",NA,"typerehab:humidity_tmtDry:temp_tmtCool",1.72223264534173,1.95380663627162,0.881475481436694,125.067624509944,0.37975141468828
"9","ran_pars","individual_ID:trial_number","sd__(Intercept)",3.84541809649898,NA,NA,NA,NA
"10","ran_pars","trial_number","sd__(Intercept)",2.97135073829064,NA,NA,NA,NA
"11","ran_pars","Residual","sd__Observation",3.91718693032728,NA,NA,NA,NA
